Name,Type,Notes
SERVICE ACCESS RIGHT,Class,An immaterial marketable element dedicated to accessing some services.
TYPE OF FARE PRODUCT,Class,A classification of FARE PRODUCTs.
FARE PRODUCT,Class,"An immaterial marketable element (access rights, discount rights, etc.), specific to a CHARGING MOMENT."
THIRD PARTY PRODUCT,Class,A FARE PRODUCT that is marketed together with a Public Transport FARE PRODUCT.
CAPPING RULE,Class,"A capping limit for a given time interval, where the capping is expressed by another product (for example, the London Oyster card fare, which charges for each journey at a reduced price until travel equivalent to a day pass for the mode of travel has been consumed). 
"
,Note,"<b>SALES DISCOUNT RIGHT</b> = <i>A FARE PRODUCT allowing a customer to benefit from discounts when purchasing SALES OFFER PACKAGEs.</i>

For example a rail card.

Distinct from an ENTITLEMENT PRODUCT - which also gives a discount but is not itself a FARE PRODUCT (For example a Veteran's card).

Quite often a SALE DISCOUNT RIGHT is bundled into a SALES OFFER PACKAGE with another FARE PRODUCT, for example a season ticket to travel on a train route might give the right to buy other train tickets at a discount."
USAGE DISCOUNT RIGHT,Class,A FARE PRODUCT allowing a customer to benefit from discounts when consuming VALIDABLE ELEMENTs.
CAPPING RULE PRICE,Class,"A set of all possible price features of a CAPPING RULE: default total price, discount in value or percentage etc."
,Text,
,Text,
,Constraint,exclusion
,Note,may be for Public Transport or for other services
,Note,"<b>PREASSIGNED FARE PRODUCT:</b> <i>A FARE PRODUCT consisting of one or several VALIDABLE ELEMENTs, specific to a CHARGING METHOD.</i>

Used for trips bought in advance or postpaid.
"
,Text,
,Note,"<b>AMOUNT OF PRICE UNIT </b>= A<i> FARE PRODUCT consisting in a stored value of PRICE UNITs: an amount of money on an electronic purse, amount of units on a value card etc. </i>
For example, a coupon with 10 points on it, a subway token, a smart card holding 8 Euros in stored value.
"
,Text,
AMOUNT OF PRICE UNIT,Class,"A FARE PRODUCT consisting in a stored value of PRICE UNITs: an amount of money on an electronic purse, amount of units on a value card etc."
ACCESS RIGHT IN PRODUCT,Class,"A VALIDABLE ELEMENT as a part of a PRE-ASSIGNED FARE PRODUCT, including its possible order in the set of all VALIDABLE ELEMENTs grouped together to define the access right assigned to that PRE-ASSIGNED FARE PRODUCT."
,Text,
,Note,"<b>ENTITLEMENT PRODUCT:</b> <i>A precondition to access a service or to purchase a FARE PRODUCT, issued by an organisation that may not necessarily be a PT operator (e.g., military card). </i>
<i>
</i>The ENTITLEMENT REQUIRED validity parameter of a SALES OFFER PACKAGE or a FARE PRODUCT can specify which ENTITLEMENT PRODUCT (s) are required in order to buy a give FARE PRODUCT"
,Note,"<b>CAPPED DISCOUNT RIGHT:</b> <i>A specialisation of SALE DISCOUNT RIGHT where the discount is expressed as a rule specifying a ceiling within a given time interval. For example, the London Oyster card fare, which charges for each journey until travel equivalent to a day pass has been consumed, after which further travel is free on that day.</i>

Fare can be capped to an amount or linked to the price of another product within a given USAGE VALIDITY PERIOD."
,Note,"THIRD PARTY PRODUCT: <i>A FARE PRODUCT that is marketed together with a Public Transport FARE PRODUCTs.</i>

Sometimes a SALES OFFER PACKAGE includes items from another operator for which no fare description is available, but nonetheless needs to be understood as part of the offering. These can be represented as THIRD PARTY PRODUCTS."
PRE-ASSIGNED FARE PRODUCT,Class,"A FARE PRODUCT consisting of one or several VALIDABLE ELEMENTs, specific to a CHARGING <font color=""#0f0f0f"">MOMENT</font>."
,Text,
,Note,"<b>USAGE DISCOUNT RIGHT:</b> <i>A FARE PRODUCT allowing a customer to benefit from discounts when consuming VALIDABLE ELEMENTs.</i>

Distinct from a SALES DISCOUNT RIGHT which is the right to purchase additional products at a discount, the USAGE DISCOUNT RIGHT gives a cheaper rate when consuming access rights already included in a product.

Quite often a USAGE DISCOUNT RIGHT is bundled into a SALES OFFER PACKAGE with another FARE PRODUCT.
"
ENTITLEMENT PRODUCT,Class,"A precondition to access a service or to purchase a FARE PRODUCT issued by an organisation that may not be a PT operator (e.g., military card). 
"
,Text,
,Text,
SUPPLEMENT PRODUCT,Class,"<font color=""#0f0f0f"">A PRE-ASSIGNED FARE PRODUCT that will provide additional rights when used with (as a complement of) another (reserved seat, second to first class upgrade, etc.).</font>
<font color=""#0f0f0f"">NOTE: SUPPLEMENT PRODUCT also usually has an additional price.</font>"
SALE DISCOUNT RIGHT,Class,A FARE PRODUCT allowing a customer to benefit from discounts when purchasing SALES OFFER PACKAGEs.
CAPPED DISCOUNT RIGHT,Class,"A specialisation of SALE DISCOUNT RIGHT where the discount is expressed as a rule specifying a ceiling on the price for a given time interval (for example, the London Oyster card fare, which charges for each journey until travel equivalent to a day pass has been consumed after which further travel is free on that day)."
Port1,Port,
,Text,
AR Limitation Parameters MODELs,Package,
AR Scoping Validity Parameters MODELs,Package,Describes the generic access rights and parameters used specify what rights a Fare product gives.
AR Access Right Parameter Assignment MODEL,Package,
AR Fare Easement MODEL,Package,"Describes the easement of access rights.
"
AR Eligibility Usage Parameters MODEL,Package,Describes conditions on who may buy and use a fare product.
AR Charging Usage Parameters MODEL,Package,"Describes conditions on policies for giving credit and charging penalties.
"
AR Usage Parameters MODEL,Package,Describes diverse conditions on how and when FARE PRODUCTs and access rights may be used.
AR Entitlement Parameters MODEL,Package,Describes diverse conditions on prerequisites FARE PRODUCTs and rights to buy other products
AR Travel Usage Parameters MODEL,Package,"Describes diverse conditions on how access rights may be consumed when travelling.
"
AR Luggage Usage Parameters MODEL,Package,Describes conditions on luggage that may be taken when travelling.
AR Booking Usage Parameters MODEL,Package,Describes conditions on when and how products can be booked or purchased.
AR After Sales Usage Parameters MODEL,Package,Describes conditions on after-sale handling of products.
,Text,
,Text,
USAGE PARAMETER PRICE,Class,"A set of all possible price features of a USAGE PARAMETER: discount in value or percentage, etc."
,Text,
TYPE OF USAGE PARAMETER,Class,"A classification of USAGE PARAMETERs to express the nature of parameters.
"
USAGE PARAMETER,Class,A parameter used to specify the use of a SALES OFFER PACKAGE or a FARE PRODUCT.
ROUND TRIP,Class,Parameters relating to single or return trip use of an access right.
MINIMUM STAY,Class,"Parameters expressing details of any minimum stay at the destination required to use an access right.
"
USAGE VALIDITY PERIOD,Class,"A time limitation for validity of a FARE PRODUCT or a SALES OFFER PACKAGE.
NOTE: It may be composed of a standard duration (e.g. 3 days, 1 month) and/or fixed start/end dates and times."
,Text,
TYPE OF MINIMUM STAY ,Class,"A classification of MINIMUM STAY requirements.
"
FREQUENCY OF USE,Class,"The limits of usage frequency for a FARE PRODUCT (or one of its components) or a SALES OFFER PACKAGE during a specific VALIDITY PERIOD.
NOTE: There may be different prices depending on how often the right is consumed during the period."
TYPE OF USAGE VALIDITY PERIOD,Class,A classification of TYPE OF USAGE VALIDITY PERIOD. 
TYPE OF USAGE TRIGGER,Class,"A classification of the events that may start or end a USAGE VALIDITY PERIOD, for example, 'purchase' 'start of ride', 'end of ride', 'end of day', 'end of period', etc."
STEP LIMIT,Class,"Geographical parameter limiting the access rights by counts of stops, sections or zones."
TYPE OF FREQUENCY OF USE ,Class,A classification of FREQUENCY OF USE.
,Text,
INTERCHANGING,Class,"<font color=""#0f0f0f"">Parameters expressing limitations on making changes within a trip.</font>"
ROUTING,Class,"<font color=""#0f0f0f"">Parameters expressing limitations on routing of an access right.</font>
"
,Text,
COMPANION PROFILE,Class,"The number and characteristics of the persons entitled to travel in a group or as companions to another USER PROFILE. 
<b>
</b>"
,Text,
TYPE OF CONCESSION,Class,A classification of USER PROFILE by type of person eligible to use it.
,Text,
GROUP TICKET,Class,The number and characteristics of persons entitled to travel in addition to the holder of an access right.
USER PROFILE,Class,"Eligibility requirements to be met by the social profile of a passenger, based on age group, residence, employment status, sex, mobility requirements etc., used for allowing discounts: 18-40 years old, graduates, preferences, unemployed, women, etc.
"
RESIDENTIAL QUALIFICATION,Class,A parameter providing an authorisation to consider a user as being characterised by a USER PROFILE.
COMMERCIAL PROFILE,Class,"A category of users depending on their commercial relations with the operator (frequency of use, amount of purchase etc.), often used for allowing discounts."
TYPE OF PROOF ACCEPTED,Class,A classification of TYPEs of PROOF ACCEPTED to prove eligibility for a USER PROFILE.
,Text,
,Text,
,Note,"Prerequisite FARE PRODUCTS and/or SALES OFFER PACKAGES can be specified using ENTITLEMENT REQUIRED / SALES OFFER ENTITLEMENT REQUIRED parameters.
"
,Text,
,Text,
ENTITLEMENT REQUIRED,Class,"A parameter indicating whether a particular FARE PRODUCT requires an entitlement (e.g., ownership) to another product in order to buy or use an access right."
TYPE OF ENTITLEMENT,Class,A classification of ENTITLEMENT by type of person eligible to use it.
ENTITLEMENT GIVEN,Class,A parameter indicating whether a particular FARE PRODUCT provides an entitlement to buy or use an access right.
,Note,"Fully defined travel product that

a) Can be used as prerequisite for acquiring another product

b) May give rights to acquire another product"
,Note,"Minimally defined product (travel or otherwise) that can nonetheless be used as a prerequisite for acquiring a fare product.
"
ENTITLEMENT,Class,A USAGE PARAMETER indicating whether a particular FARE PRODUCT is required or gives an entitlement to use another product.
,Text,
TYPE OF BAGGAGE USE,Class,"A classification of how baggage may be used, for example, carry on, check in, luggage van, etc."
,Text,
LUGGAGE ALLOWANCE,Class,"The number and characteristics (weight, volume) of luggage that a holder of an access right is entitled to carry."
TYPE OF BAGGAGE,Class,"A classification of TYPE OF BAGGAGE, e.g., suitcase, push-chair, bicycle, sports gear."
,Text,
TYPE OF RESERVATION FEE,Class,"Classification of Fee basis for making a reservation, e.g., as per group, per leg, per change, per person, etc."
CANCELLING,Class,A parameter giving conditions for cancelling of a booked access right.
,Text,
PURCHASE WINDOW,Class,Period in which the FARE PRODUCT must be purchased.
RESERVING,Class,Parameters indicating whether the access right requires reservation.
TYPE OF RESERVATION NEEDED,Class,Classification of type of reservation needed.
,Text,
RESERVATION MOMENT,Class,"A classification of the moment at which a booking or reservation may be made, e.g., in advance, at stop, on boarding, on board, etc."
BOOKING POLICY,Class,A parameter giving common conditions for booking or cancelling an access right.
TYPE OF RESERVATION RULE,Class,"Classification of requirement for making a reservation, e.g., required, required for groups."
,Text,
,Text,
RESELLING MOMENT,Class,"A classification of the moment at which a booking or reservation may be made, e.g., in advance, at stop, on boarding, on board, etc."
REPLACING,Class,"<font color=""#0f0f0f"">Parameters indicating whether </font>and how the access right may be replaced."
REFUNDING,Class,"<font color=""#0f0f0f"">Parameters indicating whether </font>and how the FARE PRODUCT may be refunded."
TRANSFERABILITY,Class,The number and characteristics of persons entitled to use the public transport service instead of the original TRANSPORT CUSTOMER.
RESELLING,Class,"Parameters indicating the common resale conditions (i.e., for exchange or refund) attached to a fare product."
TYPE OF RESALE,Class,Classification of after sale condition.
,Text,
REBATING,Class,"<font color=""#0f0f0f"">Parameters indicating whether </font>and how a rebate may be offered for the product, for example if performance targets are not met or an inferior replacement service is run."
EXCHANGING,Class,"<font color=""#0f0f0f"">Parameters indicating whether </font>and how an access right may be exchanged for another access right (for example, changing the date of a ticket)."
SUSPENDING,Class,"Conditions governing suspension of a FARE PRODUCT, e.g., for a period pass or subscription that may allow a hiatus in use with a corresponding extension of equivalent value to the suspension period."
